ensembl_gene_id	ensembl_transcript_id	percentage_gene_gc_content	TMDomain	SignalPeptide	TAA	TGA	TAG	Length3UTR	Length5UTR	F0	F1	F2	AUGtoExonJunction	UTR5junctions	ExonJunctiontoStop	UTR3junctions	average_cds_exon_length	First_intron_length	LS_TG	LS_ER	LS_CY	Unbiased	CY+	ER+	TG+
ENSG00000205858	ENST00000401542	38.88	0	0	1	0	0	79	128	2	4	2	90	0	165	0	85.85714285714286	5453	NA	NA	NA	NA	NA	NA	NA
ENSG00000145220	ENST00000343470	44	0	0	0	1	0	188	226	4	2	1	122	2	134	0	146.16666666666666	3464	0.33	0.34	0.33	1	0	0	0
ENSG00000151789	ENST00000281523	36.24	0	0	1	0	0	8996	294	4	3	0	22	0	233	0	154.33333333333334	85867	NA	NA	NA	NA	NA	NA	NA
ENSG00000154813	ENST00000488423	40.33	0	0	0	1	0	3703	67	2	0	0	108	0	65	0	74	540	0.35	0.27	0.38	1	0	0	0
ENSG00000171243	ENST00000307068	38.75	0	1	0	0	1	1067	70	0	1	0	205	0	415	0	NA	2501	NA	NA	NA	NA	NA	NA	NA
ENSG00000164822	ENST00000297436	45.36	0	1	0	1	0	121	41	0	1	0	193	0	109	0	NA	916	NA	NA	NA	NA	NA	NA	NA
ENSG00000164821	ENST00000297435	45.15	0	1	1	0	0	200	93	0	1	0	172	1	121	0	NA	1315	NA	NA	NA	NA	NA	NA	NA
ENSG00000178591	ENST00000382410	37.75	0	1	1	0	0	677	38	0	1	0	NA	0	412	0	NA	8238	NA	NA	NA	NA	NA	NA	NA
ENSG00000110169	ENST00000265983	47.81	0	1	0	1	0	162	24	2	6	1	83	0	259	0	129.75	151	NA	NA	NA	NA	NA	NA	NA
ENSG00000101220	ENST00000379772	55.81	0	0	0	1	0	550	177	1	3	0	19	1	100	0	134	7477	NA	NA	NA	NA	NA	NA	NA
ENSG00000177706	ENST00000313766	60	1	0	0	0	1	792	629	0	3	6	605	0	249	0	111.5	1750	0.41	0.51	0.08	0	0	1	0
ENSG00000261456	ENST00000568584	43.2	0	0	0	0	1	169	58	1	2	0	57	0	1057	0	109	270	NA	NA	NA	NA	NA	NA	NA
ENSG00000125788	ENST00000382398	34.69	1	1	0	1	0	59	39	0	1	0	58	0	277	0	NA	2729	NA	NA	NA	NA	NA	NA	NA
ENSG00000088782	ENST00000382388	39.77	0	1	1	0	0	139	91	0	1	0	49	0	250	0	NA	1181	NA	NA	NA	NA	NA	NA	NA
ENSG00000185982	ENST00000334391	41.31	0	1	1	0	0	33	88	0	1	0	49	0	232	0	NA	1457	NA	NA	NA	NA	NA	NA	NA
ENSG00000125903	ENST00000246105	39.94	0	1	1	0	0	115	31	0	1	0	58	0	493	0	NA	1932	NA	NA	NA	NA	NA	NA	NA
ENSG00000092330	ENST00000267415	53.3	0	0	0	1	0	154	291	5	2	1	192	0	134	0	146	147	0.39	0.25	0.35	1	0	0	0
ENSG00000100109	ENST00000407690	44.89	0	0	0	1	0	773	252	6	3	2	209	3	355	0	193.9	219	0.43	0.29	0.28	0	0	0	1
ENSG00000186458	ENST00000382376	42.96	0	1	1	0	0	1790	55	0	1	0	58	0	229	0	NA	1241	NA	NA	NA	NA	NA	NA	NA
ENSG00000110811	ENST00000290510	56.25	0	1	0	1	0	386	34	8	4	2	498	0	164	0	118.07692307692308	921	0.43	0.52	0.05	0	0	1	0
ENSG00000127418	ENST00000510644	66.73	1	1	0	0	1	1551	345	0	5	0	79	1	442	0	247.25	516	0.35	0.52	0.13	0	0	1	0
ENSG00000100104	ENST00000215917	45.15	0	0	0	1	0	2986	14	3	1	2	209	0	209	0	119.2	1924	0.4	0.25	0.35	1	0	0	0
ENSG00000157796	ENST00000399820	39.28	0	0	0	1	0	337	29	16	7	12	6	0	111	1	114.02941176470588	3163	0.4	0.39	0.21	0	0	1	0
ENSG00000250510	ENST00000311268	61.54	1	0	0	1	0	217	511	2	1	0	867	1	551	0	173	1568	NA	NA	NA	NA	NA	NA	NA
ENSG00000185049	ENST00000382882	48.3	0	0	0	0	1	596	15	4	6	0	210	0	184	0	131.44444444444446	17035	0.34	0.27	0.39	1	0	0	0
ENSG00000101193	ENST00000266069	48.76	0	0	0	0	1	3563	119	2	1	0	118	1	173	0	196.5	3238	0.35	0.26	0.38	1	0	0	0
ENSG00000044012	ENST00000372581	59.98	1	1	0	1	0	224	41	1	1	0	90	0	61	0	186	1140	NA	NA	NA	NA	NA	NA	NA
ENSG00000132465	ENST00000254801	37.02	0	1	1	0	0	788	18	0	1	2	64	0	210	0	101.5	4212	NA	NA	NA	NA	NA	NA	NA
ENSG00000125872	ENST00000378858	51.07	1	1	0	0	1	476	236	0	1	2	655	1	1224	0	170.5	1026	NA	NA	NA	NA	NA	NA	NA
ENSG00000196476	ENST00000360321	48.38	0	0	0	0	1	344	140	6	2	2	20	0	60	0	111.33333333333333	284	0.28	0.42	0.29	0	0	1	0
ENSG00000101222	ENST00000379756	57.54	0	0	0	1	0	708	161	2	2	2	109	0	107	0	97.8	1404	NA	NA	NA	NA	NA	NA	NA
ENSG00000197273	ENST00000357001	57.59	1	1	0	0	1	216	33	1	1	0	75	0	64	0	207	1028	NA	NA	NA	NA	NA	NA	NA
ENSG00000110700	ENST00000525634	46.06	0	0	1	0	0	45	26	2	1	2	23	0	33	0	98.75	142	0.27	0.23	0.5	0	1	0	0
ENSG00000125817	ENST00000379751	66.51	0	0	0	1	0	833	257	NA	NA	NA	NA	0	NA	0	NA	NA	0.35	0.25	0.4	1	0	0	0
ENSG00000164061	ENST00000296452	48.82	0	0	0	1	0	4064	126	5	3	1	224	0	40	2	1438.5	70149	NA	NA	NA	NA	NA	NA	NA
ENSG00000132464	ENST00000396073	38.31	0	0	0	0	1	1969	281	7	0	0	54	1	2840	0	88	477	NA	NA	NA	NA	NA	NA	NA
ENSG00000185069	ENST00000332411	49.04	0	0	0	1	0	558	54	5	1	2	600	0	397	0	130.28571428571428	1090	NA	NA	NA	NA	NA	NA	NA
ENSG00000255151	ENST00000527482	37.69	0	0	0	0	1	20	20	3	1	1	NA	0	NA	0	180.8	680	NA	NA	NA	NA	NA	NA	NA
ENSG00000187801	ENST00000361584	41.8	0	0	0	1	0	126	486	1	3	0	127	0	1168	0	102	3115	NA	NA	NA	NA	NA	NA	NA
ENSG00000170340	ENST00000301998	45.39	1	0	1	0	0	1317	250	NA	NA	NA	NA	0	NA	0	NA	25857	0.48	0.49	0.03	0	0	1	0
ENSG00000177685	ENST00000525077	66.16	0	0	0	1	0	277	689	3	1	4	165	0	174	0	121.85714285714286	80	NA	NA	NA	NA	NA	NA	NA
ENSG00000137571	ENST00000260126	40.03	1	0	0	1	0	5823	621	1	4	3	907	1	457	0	167.85714285714286	1685	NA	NA	NA	NA	NA	NA	NA
ENSG00000133661	ENST00000372292	44.59	0	1	0	1	0	112	43	0	6	0	199	1	376	0	109.4	2404	NA	NA	NA	NA	NA	NA	NA
ENSG00000174799	ENST00000257287	37.81	0	0	1	0	0	2013	160	13	4	6	113	1	102	1	144.77272727272728	3027	NA	NA	NA	NA	NA	NA	NA
ENSG00000163794	ENST00000296099	68.64	0	1	0	1	0	121	299	NA	NA	NA	NA	0	NA	0	NA	252	NA	NA	NA	NA	NA	NA	NA
ENSG00000107140	ENST00000336395	59.33	0	0	0	0	1	291	358	6	1	2	219	0	880	0	96.625	146	0.37	0.23	0.4	1	0	0	0
ENSG00000134318	ENST00000315872	36.75	0	0	1	0	0	3678	500	16	9	7	141	0	3	0	128.74193548387098	56260	NA	NA	NA	NA	NA	NA	NA
ENSG00000177666	ENST00000336615	64.52	1	0	0	1	0	711	190	3	3	2	187	1	339	0	140.14285714285714	616	0.23	0.36	0.41	0	1	0	0
ENSG00000138100	ENST00000380075	47.71	0	0	1	0	0	550	303	4	1	2	168	0	85	1	136.16666666666666	15668	NA	NA	NA	NA	NA	NA	NA
ENSG00000165480	ENST00000314759	39.77	0	0	0	1	0	1555	75	3	3	2	103	0	0	0	161.14285714285714	3694	0.36	0.31	0.33	1	0	0	0
ENSG00000147874	ENST00000380502	39.6	0	0	0	1	0	3202	253	6	4	6	128	0	61	0	177.53333333333333	5755	0.33	0.35	0.32	1	0	0	0
ENSG00000186442	ENST00000417996	53.58	0	0	1	0	0	357	75	5	1	2	645	0	316	0	131.14285714285714	1067	NA	NA	NA	NA	NA	NA	NA
ENSG00000106538	ENST00000223271	62.31	0	1	1	0	0	121	72	3	0	0	174	1	116	1	99.5	949	NA	NA	NA	NA	NA	NA	NA
ENSG00000173141	ENST00000309594	49.86	0	0	1	0	0	1859	65	NA	NA	NA	NA	0	NA	0	NA	195	0.27	0.32	0.41	1	0	0	0
ENSG00000127399	ENST00000359623	53.95	0	0	0	1	0	515	520	NA	NA	NA	NA	0	NA	0	NA	2281	0.32	0.27	0.41	1	0	0	0
ENSG00000170477	ENST00000551956	48.56	0	0	0	0	1	520	58	5	1	2	462	0	181	0	130.28571428571428	1620	NA	NA	NA	NA	NA	NA	NA
ENSG00000066336	ENST00000378538	52.6	0	0	0	1	0	367	194	2	2	0	45	0	319	0	148.33333333333334	2580	NA	NA	NA	NA	NA	NA	NA
ENSG00000137101	ENST00000259633	46.81	1	0	0	0	1	341	110	1	5	1	82	0	129	1	143.66666666666666	101	NA	NA	NA	NA	NA	NA	NA
ENSG00000056487	ENST00000313237	52.73	0	0	0	1	0	1924	456	9	3	0	54	0	218	0	119.27272727272727	886	NA	NA	NA	NA	NA	NA	NA
ENSG00000172361	ENST00000398545	41.18	0	0	0	0	1	188	91	3	1	3	69	0	228	0	206.83333333333334	4117	NA	NA	NA	NA	NA	NA	NA
ENSG00000155561	ENST00000285968	38.99	0	0	0	1	0	197	28	21	18	3	28	0	152	0	141.8780487804878	13133	0.31	0.42	0.27	0	0	1	0
ENSG00000173914	ENST00000310046	43.82	0	0	1	0	0	590	136	0	1	0	412	1	667	1	NA	673	0.43	0.28	0.29	0	0	0	1
ENSG00000182022	ENST00000435907	50.24	1	0	0	1	0	2481	642	2	3	1	546	1	190	0	188.8	46745	0.42	0.5	0.08	0	0	1	0
ENSG00000095209	ENST00000374692	37.53	1	0	1	0	0	2549	120	1	2	2	112	0	215	0	136	10825	0.43	0.52	0.06	0	0	1	0
ENSG00000124251	ENST00000372726	45.13	0	0	1	0	0	1350	89	3	0	1	48	0	104	0	239	576	NA	NA	NA	NA	NA	NA	NA
ENSG00000239306	ENST00000310137	49.61	0	0	0	0	1	3266	91	0	1	1	337	0	207	0	1464	7157	0.3	0.3	0.4	1	0	0	0
ENSG00000173013	ENST00000310085	57.87	0	0	0	1	0	422	63	NA	NA	NA	NA	0	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000011009	ENST00000374514	62.28	0	0	1	0	0	807	132	4	1	3	78	1	50	0	80	1407	0.28	0.25	0.47	0	1	0	0
ENSG00000173011	ENST00000310074	56.73	0	0	0	1	0	2898	208	1	0	0	270	0	992	0	NA	10213	0.4	0.26	0.34	1	0	0	0
ENSG00000104611	ENST00000265807	42.64	0	0	0	1	0	1576	335	3	3	2	181	1	92	0	154.85714285714286	5521	NA	NA	NA	NA	NA	NA	NA
ENSG00000183513	ENST00000328709	42.89	0	0	0	1	0	1438	107	2	0	0	99	0	41	0	83	4116	0.29	0.32	0.39	1	0	0	0
ENSG00000137558	ENST00000260113	34.88	0	1	1	0	0	5776	182	2	0	2	273	1	135	0	121.66666666666667	535	NA	NA	NA	NA	NA	NA	NA
ENSG00000204103	ENST00000373313	56.42	0	0	0	1	0	2031	386	NA	NA	NA	NA	0	NA	0	NA	NA	0.39	0.34	0.26	1	0	0	0
ENSG00000114023	ENST00000477892	38.78	1	0	0	0	1	2503	84	1	2	1	34	0	92	0	111.66666666666667	18461	0.31	0.44	0.25	0	0	1	0
ENSG00000196981	ENST00000330689	39.93	0	0	1	0	0	2690	534	NA	NA	NA	NA	0	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000187815	ENST00000372706	41	0	0	1	0	0	284	931	1	3	0	127	1	1138	0	104	1142	0.44	0.3	0.26	0	0	0	1
ENSG00000111701	ENST00000229304	44.28	0	0	0	1	0	147	36	1	2	1	16	0	149	0	180.66666666666666	11225	NA	NA	NA	NA	NA	NA	NA
ENSG00000204070	ENST00000243918	49.54	1	0	0	0	1	2094	163	1	0	1	162	1	240	0	67	214	0.49	0.36	0.15	0	0	0	1
ENSG00000103199	ENST00000219478	54.32	0	0	0	1	0	4137	244	2	2	0	414	1	682	0	114.33333333333333	941	0.43	0.25	0.32	0	0	0	1
ENSG00000126705	ENST00000673934	56.39	0	0	0	0	1	715	901	NA	NA	NA	NA	0	NA	1	NA	243	NA	NA	NA	NA	NA	NA	NA
ENSG00000164099	ENST00000296498	36.51	0	1	1	0	0	1898	283	0	6	6	502	0	307	0	164.27272727272728	13905	NA	NA	NA	NA	NA	NA	NA
ENSG00000173933	ENST00000310092	44.81	0	0	1	0	0	450	62	0	1	0	412	1	682	1	NA	948	0.34	0.3	0.36	1	0	0	0
ENSG00000006611	ENST00000005226	51.78	0	0	0	0	1	432	109	16	3	7	NA	0	44	0	103.76	10950	NA	NA	NA	NA	NA	NA	NA
ENSG00000100664	ENST00000216554	44.94	0	0	1	0	0	3973	441	7	2	0	72	2	89	0	140.75	129	0.45	0.34	0.21	0	0	0	1
ENSG00000189057	ENST00000343597	38.92	0	0	0	0	1	1110	191	1	0	0	81	2	2123	0	NA	1372	NA	NA	NA	NA	NA	NA	NA
ENSG00000171316	ENST00000423902	39.99	0	0	1	0	0	2095	517	21	6	9	1665	1	917	0	182.17142857142858	62177	0.31	0.44	0.26	0	0	1	0
ENSG00000198815	ENST00000361346	38.57	0	0	0	0	1	3162	194	5	5	1	44	1	115	0	169.9	23949	0.44	0.33	0.23	0	0	0	1
