Genes	Gene Length	Exon Number	Intron Number	Exon Length Geometric Mean	Intron Length Geometric Mean	Length of Largest Exon	Length of Largest Intron	Total Exon Length	Total Intron Length	Length of Shortest Exon	Length of Shortest Intron	Mean Exon Length	Mean Intron Length	Length First Intron	Length of Largest Exon Excluding the Last	Total Exon Length Excluding the Last	Exon Length Geometric Mean Excluding the Last	Length of Shortest Exon Excluding the Last	Mean Exon Length Excluding the Last	percentage_gene_gc_content	TMDomain	SignalPeptide	TAA	TGA	TAG	Length3UTR	Length5UTR	F0	F1	F2	AUGtoExonJunction	UTR5junctions	ExonJunctiontoStop	UTR3junctions	average_cds_exon_length	First_intron_length	LS_TG	LS_ER	LS_CY	Unbiased	CY+	ER+	TG+
ENSG00000205858	54744.0	9	8	99.6725759296567	4143.009910512517	245.0	19663.0	1071.0	53673.0	28.0	988.0	119.0	6709.125	5452.0	218.0	826.0	89.07419005118662	28.0	103.25	38.88	0	0	1	0	0	79	128	2	4	2	90	0	165	0	85.85714285714286	5453	NA	NA	NA	NA	NA	NA	NA
ENSG00000145220	22454.0	10	9	127.58231916865323	1459.4453717392898	403.0	4967.0	1554.0	20900.0	54.0	111.0	155.4	2322.222222222222	3463.0	403.0	1231.0	115.0712772235687	54.0	136.77777777777777	44	0	0	0	1	0	188	226	4	2	1	122	2	134	0	146.16666666666666	3464	0.33	0.34	0.33	1	0	0	0
ENSG00000151789	338993.0	8	7	274.5051887972608	20208.03608178533	9230.0	100201.0	10478.0	328515.0	102.0	1427.0	1309.75	46930.71428571428	85866.0	316.0	1248.0	166.13362356407512	102.0	178.28571428571428	36.24	0	0	1	0	0	8996	294	4	3	0	22	0	233	0	154.33333333333334	85867	NA	NA	NA	NA	NA	NA	NA
ENSG00000154813	7883.0	3	2	367.09219421770496	1338.7214049233694	3769.0	3325.0	4019.0	3864.0	75.0	539.0	1339.6666666666667	1932.0	539.0	175.0	250.0	114.56439237389601	75.0	125.0	40.33	0	0	0	1	0	3703	67	2	0	0	108	0	65	0	74	540	0.35	0.27	0.38	1	0	0	0
ENSG00000171243	4258.0	2	1	638.6117756509036	2500.0	1483.0	2500.0	1758.0	2500.0	275.0	2500.0	879.0	2500.0	2500.0	275.0	275.0	275.0	275.0	275.0	38.75	0	1	0	0	1	1067	70	0	1	0	205	0	415	0	NA	2501	NA	NA	NA	NA	NA	NA	NA
ENSG00000164822	1380.0	2	1	232.49516123997077	915.0	234.0	915.0	465.0	915.0	231.0	915.0	232.5	915.0	915.0	234.0	234.0	234.0	234.0	234.0	45.36	0	1	0	1	0	121	41	0	1	0	193	0	109	0	NA	916	NA	NA	NA	NA	NA	NA	NA
ENSG00000164821	2487.0	3	2	168.67584890323076	877.4987179477814	322.0	1314.0	587.0	1900.0	81.0	586.0	195.66666666666666	950.0	1314.0	184.0	265.0	122.08193969625482	81.0	132.5	45.15	0	1	1	0	0	200	93	0	1	0	172	1	121	0	NA	1315	NA	NA	NA	NA	NA	NA	NA
ENSG00000178591	9423.0	2	1	323.4810659064916	8237.0	1090.0	8237.0	1186.0	8237.0	96.0	8237.0	593.0	8237.0	8237.0	96.0	96.0	96.0	96.0	96.0	37.75	0	1	1	0	0	677	38	0	1	0	NA	0	412	0	NA	8238	NA	NA	NA	NA	NA	NA	NA
ENSG00000110169	9939.0	10	9	135.9932561109444	349.4255844646391	422.0	5028.0	1575.0	8364.0	59.0	83.0	157.5	929.3333333333334	150.0	213.0	1153.0	119.9149897496012	59.0	128.11111111111111	47.81	0	1	0	1	0	162	24	2	6	1	83	0	259	0	129.75	151	NA	NA	NA	NA	NA	NA	NA
ENSG00000101220	14246.0	6	5	157.40237155700643	1473.0864716821213	651.0	7476.0	1252.0	12994.0	91.0	238.0	208.66666666666666	2598.8	7476.0	143.0	601.0	118.49426408853257	91.0	120.2	55.81	0	0	0	1	0	550	177	1	3	0	19	1	100	0	134	7477	NA	NA	NA	NA	NA	NA	NA
